Year,RA,Station_ID,WMO_ID_or_NWS_CMAN_ID,Station_Long_Name,Station_Description,latitude,longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder_Sponsor,RA_Funding_Involvement,Platform_Operator_Owner,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names_water_column_depth_of_measurement_in_meters_CF_name_m_m_or_CF_name_mult_or_CF_name_depths,Additional_notes,file
2019,PacIOOS,CDIP 196,52202,"Ritidian Point, Guam",Datawell Waverider,13.6837,144.8121,wave_buoy,,O,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",Replacement buoy en route to Guam as of 12/23/19,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 197,52211,"Tanapag, Saipa, CNMI",Datawell Waverider,15.2685,145.6623,wave_buoy,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 198,51207,"Kaneohe Bay, Oahu, Hawaii",Datawell Waverider,21.4775,-157.7526,wave_buoy,,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 202,51208,"Hanalei, Kauai,  Hawaii",Datawell Waverider,22.2847,-159.5742,wave_buoy,,O,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",waiting on weather window to redeploy,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 225,51210,"Kaneohe WETS, Oahu, Hawaii",Datawell Waverider,21.4774,-157.7558,wave_buoy,,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 233,51211,"Pearl Harbor Entrance, Hawaii",Datawell Waverider DM4,21.2974,-157.9589,wave_buoy,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 238,51212,"Kalaeloa, Barbers Point, HI",Datawell Waverider,21.3233,-158.1497,wave_buoy,,Y,PacIOOS,,,,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CDIP 239,51213,"Lanai SW, HI",Datawell Waverider,20.7502,-157.0034,wave_buoy,,O,PacIOOS,,,,PacIOOS,CDIP,"sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_significant_height, sea_water_speed, sea_water_temperature, sea_water_to_direction",Buoy went offsite in December 2019. Plan to replace batteries and do a check of buoy before redeployment.,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS02,HYCH1,Hawaii Yacht Club NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.28641,-157.8428,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS03,HLTH1,Hilton Hawiian Village NSS,SBE-16V2+,21.28042,-157.8381,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS04,WQMH1,Waikiki Aquarium NSS,SBE-16V2+,21.26588,-157.8228,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS05,,Pago Pago NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",-14.2766,-170.6908,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS06,,Pohnpei NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",6.873681,158.2245,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS07,,Majuro NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",7.106,171.3728,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS10,MNBH1,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.28009,-157.711,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS12,,"Kalama Beach Park, Maui NSS",YSI-6600V2,20.73121,-156.455,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_turbidity, mass_concentration_of_chlorophyll_in_sea_water, sea_water_salinity, depth, sea_water_ph_reported_on_total_scale, fractional_saturation_of_oxygen_in_sea_water, mass_concentration_of_oxygen_in_sea_water",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS15,,"Pago Bay, Guam NSS","SBE-16V2+, Wetlabs ECOFLNTUS",13.42082,144.7859,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,NS17,,"Pago Bay, Guam NSS","SBE-16V2+, Wetlabs ECOFLNTUS",13.42059,144.78604,fixed,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",Used to be at NS15 site.  Had to move because of sediment overload; doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,PP05,,"Waialae Beach Park, Oahu PP","SBE-16V2+, Wetlabs ECOFLNTUS",21.2682,-157.7767,fixed,,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,FG01,,Pohnpei PP,"SBE-16V2+, Wetlabs ECOFLNTUS",NaN,NaN,fixed,,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,TBD,,"Ebiil, Palau PP","SBE-16V2+, Wetlabs ECOFLNTUS",NaN,NaN,fixed,,Y,PacIOOS,Yf,PacIOOS,Nonprofit,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CWB-NSS 1,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.2638,-157.7635,fixed,,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CWB-NSS 2,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.27586,-157.7474,fixed,,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,CWB-NSS 3,,Maunalua Bay NSS,"SBE-16V2+, Wetlabs ECOFLNTUS",21.27449,-157.7147,fixed,,Y,PacIOOS,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, sea_water_pressure,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity ",doesn't report in real-time,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,WQB-04,51045,"Hilo Bay, Hawaii",YSI-EMM-68,19.7342,-155.0817,moored_buoy,,O,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water","Out of water for repairs and maintenance as of 12/21/19. The charger switch, the go-between the solar panels and battery power, stopped working. ",Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,WQB-05,51046,"Pelekane Bay, Hawaii",YSI-EMM-68; YSI SONDE 6600 V2-4,20.0241,-155.8285,moored_buoy,,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_salinity, mole_concentration_of_dissolved_molecular_oxygen_in_sea_water, sea_water_turbidity, mass_concentration_of_chlorophyll_a_in_sea_water",,Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,WQB-KN,51043,Kilo Nalu Buoy,"SBE-37-SMP, YSI-6600, LICOR-820-NDIR",21.2887,-157.865,moored_buoy,,Y,OAP,N,University of Hawaii,Academic,University of Hawaii,University of Hawaii,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air","Chris Sabine now oversees buoy; PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,WQB-AW,51042,Ala Wai Buoy,"SBE-37-SMP, YSI-6600, LICOR-820-NDIR, Maxtech-MAX-250,",21.2799,-157.848,moored_buoy,,Y,OAP,N,University of Hawaii,Academic,University of Hawaii,University of Hawaii,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air","Chris Sabine now oversees buoy; PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_Dec2019.xlsx
2019,PacIOOS,WQB-AmSamoa,,"Fagatele Bay, Tutuila, Am Samoa","SBE-19plus-CTD, LICOR-820-NDIR, SAMI pH, SBE DO, SBE Fluorometry-NTU",-14.3645,-170.7629,moored_buoy,,Y,OAP,Yp,PacIOOS,Academic,PacIOOS,PacIOOS,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_salinity, mass_concentration_of_oxygen_in_sea_water, mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, surface_air_pressure, sea_water_ph_reported_on_total_scale, mole_fraction_of_carbon_dioxide_in_sea_water, mole_fraction_of_carbon_dioxide_in_air"," PMEL manages pCO2 data, etc.",Asset Inventory_PacIOOS_Dec2019.xlsx
2019,CARICOOS,PR1,42085,Ponce Buoy,,17.869,-66.532,moored_buoy,,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 16) m, sea_water_to_direction (2.5 -16) m, eastward_sea_water_velocity (2.5 - 16) m, northward_sea_water_velocity (2.5 - 16) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,PR2,41053,San Juan Buoy,,18.474,-66.099,moored_buoy,,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 29) m, sea_water_to_direction (2.5 -29) m, eastward_sea_water_velocity (2.5 - 29) m, northward_sea_water_velocity (2.5 - 29) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,PR3,41056,Vieques Buoy,,18.261,-65.464,moored_buoy,,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 28 m), sea_water_to_direction  (2.5 - 28 m), eastward_sea_water_velocity  (2.5 - 28 m), northward_sea_water_velocity  (2.5 - 28 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,VI1,41052,St. John Buoy,,18.249,-64.763,moored_buoy,,Y,,Yf,Neal Pettigrew,Academic,"Department of Physical Oceanography, School of Marine Sciences, University of Maine","Department of Physical Oceanography, School of Marine Sciences, University of Maine  / CARICOOS","sea_water_speed (2.5 - 40 m), sea_water_to_direction  (2.5 - 40 m), eastward_sea_water_velocity (2.5 - 40 m), northward_sea_water_velocity (2.5 - 40 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,VI2,41051,North of St. Thomas,,18.4761,-65.1568,moored_buoy,,O,,Yp,Paul Jobsis,Academic,University of the Virgin Islands,"Department of Physical Oceanography, School of Marine Sciences, University of Maine  / CARICOOS","sea_water_speed (2.5 - 22 m), sea_water_to_direction  (2.5 - 22 m), eastward_sea_water_velocity (2.5 - 22 m), northward_sea_water_velocity (2.5 - 22 m), sea_surface_temperature, air_temperature (-3 m), relative_humidity (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m), dissolved_oxygen (1 m), mass_concentration_of_chlorophyll_in_sea_water (1 m), sea_water_turbidity (1 m)",Damaged by Hurricane Irma. Waiting for Hurricane Supplemental funds to obtain a new buoy.,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,181p1,41115,Rincon Waverider Buoy,,18.376,-67.28,moored_buoy,,Y,,Yf,CARICOOS,Academic,CARICOOS,Coastal Data Information Program (CDIP),"sea_surface_wave_significant_height, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment, sea_surface_wave_from_direction, sea_surface_wave_zero_upcrossing_period, wave_frequency, sea_surface_wave_variance_spectral_density, sea_surface_wave_from_direction, sea_surface_temperature, platform_orientation, sea_floor_depth_below_sea_surface",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XYAB,TJAB,Yabucoa Mesonet,,18.05245,-65.82809,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XWGO,TIGO,Crown Mountain - USVI,,18.35537,-64.96693,fixed,,O,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Damaged by Hurricane Maria. Decommissioned by Weatherflow. Searching for new location to be relocated.,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XSAV,TIAV,Savana Island - USVI,,18.33737,-65.083,fixed,,N,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Decommisioned by Weatherflow.,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XRUP,TIMA,Ruperts Rock,,18.32817,-64.92661,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XREY,TJEY,Marina Puerto del Rey,,18.28938,-65.632,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XMRS,TJRS,Las Mareas,,17.92859,-66.1597,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XJUA,TJUA,San Juan NavAid,,18.45512,-66.12846,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XGUR,TJUR,Gurabo,,18.25623,-65.99167,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
2019,CARICOOS,XCUL,TJUL,Culebrita Island,,18.3137,-65.22742,fixed,,Y,,Yf,Weatherflow,Industry,Weatherflow,Weatherflow / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS Asset Inventory_2019.xlsx
